Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
126445/159743;Dìtské vyšívání;211.8;332.8;121.0;36.36;35
126445/188216;Dìtské vyšívání;211.8;332.8;121.0;36.36;35
126445/188217;Dìtské vyšívání;211.8;332.8;121.0;36.36;35
126445/188219;Dìtské vyšívání;211.8;332.8;121.0;36.36;35
126445/211381;Dìtské vyšívání;211.8;332.8;121.0;36.36;35
126445/230248;Dìtské vyšívání;0.0;0.0;0.0;0;0
126445/252609;Dìtské vyšívání;211.8;332.8;121.0;36.36;35
126445/252610;Dìtské vyšívání;211.8;332.8;121.0;36.36;35
126445/282244;Dìtské vyšívání;302.5;332.8;30.3;9.1;10
126445/282245;Dìtské vyšívání;211.8;332.8;121.0;36.36;35
126446/159743;Dìtské vyšívání;423.6;465.9;42.3;9.08;10
126446/188216;Dìtské vyšívání;423.6;465.9;42.3;9.08;10
126446/188217;Dìtské vyšívání;420.0;0.0;-420.0;0;0
126446/188219;Dìtské vyšívání;423.6;465.9;42.3;9.08;10
126446/211381;Dìtské vyšívání;423.6;465.9;42.3;9.08;10
126446/252609;Dìtské vyšívání;423.6;465.9;42.3;9.08;10
126446/252610;Dìtské vyšívání;423.6;465.9;42.3;9.08;10
126446/282244;Dìtské vyšívání;423.6;465.9;42.3;9.08;10
126446/282245;Dìtské vyšívání;423.6;465.9;42.3;9.08;10
59383/159743;Dìtské vyšívání;21.18;51.1;29.92;58.55;60
59383/188216;Dìtské vyšívání;21.18;51.1;29.92;58.55;60
59383/188217;Dìtské vyšívání;21.18;51.1;29.92;58.55;60
59383/188219;Dìtské vyšívání;21.18;51.1;29.92;58.55;60
59383/211381;Dìtské vyšívání;21.18;51.1;29.92;58.55;60
59383/230248;Dìtské vyšívání;30.25;51.9;21.65;41.71;40
59383/252609;Dìtské vyšívání;21.18;51.1;29.92;58.55;60
59383/252610;Dìtské vyšívání;21.18;51.1;29.92;58.55;60
